id,created_at,updated_at,cart_id,inventory_id,offer_id,delivery_fee,is_updated_price,currency,deleted_at
307,2021-01-29 17:07:35.000,2021-01-29 17:07:35.000,116,402,NULL,0.00,0,SGD,NULL
308,2021-01-29 20:20:22.000,2021-01-29 20:20:22.000,266,232,NULL,0.00,0,SGD,NULL
311,2021-01-30 13:08:05.000,2021-01-30 13:08:05.000,269,237,NULL,0.00,0,SGD,NULL
312,2021-01-31 08:17:41.000,2021-01-31 08:17:41.000,208,206,NULL,0.00,0,SGD,NULL
317,2021-01-31 17:20:59.000,2021-01-31 17:20:59.000,275,600,NULL,0.00,0,SGD,NULL
321,2021-02-01 03:03:27.000,2021-02-01 03:03:27.000,278,683,NULL,0.00,0,SGD,NULL
332,2021-02-02 05:12:04.000,2021-02-02 05:17:03.000,288,147,58,0.00,0,SGD,NULL
348,2021-02-04 23:42:10.000,2021-02-04 23:42:10.000,268,83,NULL,0.00,0,SGD,NULL
352,2021-02-05 15:49:35.000,2021-02-05 15:49:35.000,183,600,NULL,0.00,0,SGD,NULL
353,2021-02-05 15:51:46.000,2021-02-05 15:51:46.000,183,146,NULL,0.00,0,SGD,NULL
354,2021-02-05 15:51:53.000,2021-02-05 15:51:53.000,183,669,NULL,0.00,0,SGD,NULL
358,2021-02-06 05:54:50.000,2021-02-06 05:54:50.000,311,737,NULL,0.00,0,SGD,NULL
359,2021-02-06 06:50:06.000,2021-02-06 06:50:06.000,312,650,NULL,0.00,0,SGD,NULL
360,2021-02-06 06:51:31.000,2021-02-06 06:51:31.000,312,567,NULL,0.00,0,SGD,NULL
361,2021-02-06 06:52:05.000,2021-02-06 06:52:05.000,312,211,NULL,0.00,0,SGD,NULL
362,2021-02-06 06:52:39.000,2021-02-06 06:52:39.000,312,148,NULL,0.00,0,SGD,NULL
363,2021-02-06 06:53:11.000,2021-02-06 06:53:11.000,312,737,NULL,0.00,0,SGD,NULL
364,2021-02-06 06:54:29.000,2021-02-06 06:54:29.000,312,146,NULL,0.00,0,SGD,NULL
365,2021-02-06 06:54:58.000,2021-02-06 06:54:58.000,312,742,NULL,0.00,0,SGD,NULL
366,2021-02-06 06:55:16.000,2021-02-06 06:55:16.000,312,669,NULL,0.00,0,SGD,NULL
367,2021-02-06 06:55:54.000,2021-02-06 06:55:54.000,312,525,NULL,0.00,0,SGD,NULL
368,2021-02-06 06:59:40.000,2021-02-06 06:59:40.000,312,87,NULL,0.00,0,SGD,NULL
369,2021-02-06 07:00:41.000,2021-03-05 14:10:18.000,312,88,NULL,0.00,1,SGD,NULL
370,2021-02-06 07:01:15.000,2021-02-06 07:01:15.000,312,722,NULL,0.00,0,SGD,NULL
371,2021-02-06 07:01:46.000,2021-02-06 07:01:46.000,312,86,NULL,0.00,0,SGD,NULL
372,2021-02-06 07:05:36.000,2021-02-06 07:05:36.000,312,739,NULL,0.00,0,SGD,NULL
373,2021-02-06 07:07:06.000,2021-02-06 07:07:06.000,312,600,NULL,0.00,0,SGD,NULL
374,2021-02-06 07:10:21.000,2021-02-06 07:10:21.000,312,543,NULL,0.00,0,SGD,NULL
382,2021-02-07 08:25:02.000,2021-02-07 08:25:02.000,321,365,NULL,0.00,0,SGD,NULL
389,2021-02-08 04:15:30.000,2021-02-08 04:15:30.000,173,756,NULL,0.00,0,SGD,NULL
402,2021-02-08 11:14:59.000,2021-02-08 11:14:59.000,134,632,NULL,200.00,0,SGD,NULL
409,2021-02-09 09:28:44.000,2021-02-09 09:28:44.000,336,228,NULL,0.00,0,SGD,NULL
410,2021-02-09 09:39:13.000,2021-02-09 09:39:13.000,336,92,NULL,0.00,0,SGD,NULL
414,2021-02-10 09:43:12.000,2021-02-10 09:43:12.000,153,723,NULL,0.00,0,SGD,NULL
